,Compound,Name,Negative,Neutral,Positive,Tweet Text,Tweets Ago
0,0.34,@CBS,0.902,0.0,0.098,RT @That1EBD: @mkraju Oh if only @andersoncooper &amp; @60Minutes would devote the same amout of time interviewing all the *other* women each w…,101
1,-0.1027,@CBS,0.781,0.219,0.0,@CBS Pay for one show? Nope,102
2,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",103
3,0.296,@CBS,0.913,0.0,0.087,RT @CBS: Join @eltonofficial and some of today's hottest names in music when they take the stage to perform his most memorable hits. Watch…,104
4,0.0,@CBS,1.0,0.0,0.0,"@BtsBill @realDonaldTrump @CNN @60Minutes @FoxNews @ABC @CBS @nbc @WASHINGTONPOSst When twit says it is deleted, go… https://t.co/M6HgAXrkrR",105
5,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",106
6,0.0,@CBS,1.0,0.0,0.0,@PatriotTamme @realDonaldTrump @CNN @60Minutes @FoxNews @ABC @CBS @nbc @WASHINGTONPOSst This is tweet is returning… https://t.co/ODMLilrwdG,107
7,0.0,@CBS,1.0,0.0,0.0,RT @daphnecarr92171: @officialellenk @TiffanyHaddish @Beyonce @TheTalkCBS @JulieChen @sherylunderwood @CarnieWilson @MrsSOsbourne @TheRealE…,108
8,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",109
9,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",110
10,0.3067,@CBS,0.812,0.0,0.188,"RT @patriotpennsy: @larryelder @masonbo @CBS @realDonaldTrump Well, let's not leave out @BarackObama #LarrySinclair and #DonaldYoung shall…",111
11,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",112
12,0.0,@CBS,1.0,0.0,0.0,RT @RufusHaybron: The couldn't even perform their characters in theater productions to make a buck @CBS sued them @6549lmartin @GCoinCollec…,113
13,0.0,@CBS,1.0,0.0,0.0,The couldn't even perform their characters in theater productions to make a buck @CBS sued them @6549lmartin… https://t.co/LtpKViy9tS,114
14,0.4404,@CBS,0.873,0.0,0.127,RT @SFSportsAuth: The numbers are in and 1.24 million people tuned in to the @NCAADII Men’s Basketball National Championship between @Ferri…,115
15,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",116
16,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",117
17,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",118
18,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",119
19,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",120
20,0.8016,@CBS,0.699,0.0,0.301,"RT @HighSchoolSlam: Your @amfam #Dreamfearlessly Fan Vote winners are ready to take the court!

Check out Casey Tuttle, Lexy Lake and Manny…",121
21,-0.4215,@CBS,0.903,0.097,0.0,"RT @Bkcharlie: .@msnbc @cnn @abc @cbs @nbc 
Why do you let Sara Sanders get away with her daily lies? Have some balls and call her out. Fac…",122
22,0.0,@CBS,1.0,0.0,0.0,"RT @SCW_HTMLcoin: UFO Researcher Working With HTMLcoin Cryptocurrency! March 26, 2018, UFO Sighting News. https://t.co/WMxN1gAGER @ABC @CBS…",123
23,0.0,@CBS,1.0,0.0,0.0,"RT @PatriotTamme: IT'S TIME TO DO THE ""STORMY"" ON CONGRESS!  #ReleaseTheNames of the Congressmen we have paid on their behalf in over $17 m…",124
24,0.5962,@CBS,0.831,0.0,0.169,RT @BringbackLMS: #LastManStanding Fans!! Today is #NationalJoeDay! What is your favorite quote from @jayleno (aka Joe)? Fans Will Always S…,125
25,-0.8256,@CBS,0.723,0.277,0.0,@FoxNews ROUND-ABOUT WAY TO GET A TATTOO- SOMEONE TELL THE FOOL THAT THE PRISON TATTOOS ARE OVER RATED.  @FoxNews @CNN @MSNBC @ABC @CBS,126
26,-0.4767,@CBS,0.86,0.14,0.0,RT @Bckrda: @B52Malmet @62WalterP How many people have to be harmed before you all act?  @FoxNews @JudgeJeanine @seanhannity @TGowdySC @Spe…,127
27,0.1779,@CBS,0.914,0.0,0.086,"RT @RansomSeries: .@MsSarahGreene is Maxine Carlson. Tenacious and inquisitive, she arrives to break boundaries and some of Eric Beaumont's…",128
28,0.5859,@CBS,0.787,0.0,0.213,"RT @BijinChihiro: #Dolphins #Taiji #Whales #Japan #Aquarium🐬🐳🐋 #Education
.@BBCEarthAsia .@CBS .@cnni 
Brilliant educational Japanese produ…",129
29,-0.4215,@CBS,0.899,0.101,0.0,@CBS how am I supposed to watch @instinctcbs on my DVR if you guys keep going over time. If I wanted to DVR 60 minutes I would have. Ugh 😑,130
30,0.1511,@CBS,0.815,0.0,0.185,@RansomSeries @mssarahgreene @CBS @RansomCBS I want to BE Maxine!,131
31,0.4404,@CBS,0.873,0.0,0.127,RT @SFSportsAuth: The numbers are in and 1.24 million people tuned in to the @NCAADII Men’s Basketball National Championship between @Ferri…,132
32,-0.2732,@CBS,0.896,0.104,0.0,@SlippiestFish @ggreenwald @ABC @nbc @CBS @CNN @VICE @nytimes It was evidence in a motion to dismiss charges in a C… https://t.co/P7ndxRONBg,133
33,0.2584,@CBS,0.747,0.0,0.253,@CBS Don't bother. It's not star trek.,134
34,0.0,@CBS,1.0,0.0,0.0,RT @bridgette_TN: #FlynnTuesday  💜 💜 #SupportMajorCrimes  #Onward #BestShowEver @CBS  @WBHomeEnt @EpixHD https://t.co/IEjXFseNmt,135
35,0.0,@CBS,1.0,0.0,0.0,@PresidentSClark @atensnut @TrumpRollsOn @andersoncooper @CNN @cnnbrk @CBS @CBSNews @CBSTweet @CBSThisMorning @ABC… https://t.co/s8anPL8rlX,136
